experiment_id,timestamp,protocol,configuration,algorithm,classical_component,pqc_component,network_profile,iteration,latency_us,elapsed_s,user_cpu_s,system_cpu_s,memory_kb,tcp_payload_bytes,ip_packets,success
tls_latency200_hybrid_20260901_151549_8,2026-09-01T15:16:11+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency200,8,1218831,,,,,,,1
tls_latency200_hybrid_20260901_151549_9,2026-09-01T15:16:13+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency200,9,1221858,,,,,,,1
tls_latency200_hybrid_20260901_151549_10,2026-09-01T15:16:14+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency200,10,1219180,,,,,,,1
ssh_latency200_classical_20260901_151614_1,2026-09-01T15:16:19+00:00,SSH,Classical,X25519,X25519,None,latency200,1,4981804,,,,,,,1
ssh_latency200_classical_20260901_151614_2,2026-09-01T15:16:24+00:00,SSH,Classical,X25519,X25519,None,latency200,2,4983100,,,,,,,1
ssh_latency200_classical_20260901_151614_3,2026-09-01T15:16:29+00:00,SSH,Classical,X25519,X25519,None,latency200,3,4985407,,,,,,,1
ssh_latency200_classical_20260901_151614_4,2026-09-01T15:16:34+00:00,SSH,Classical,X25519,X25519,None,latency200,4,4983331,,,,,,,1
ssh_latency200_classical_20260901_151614_5,2026-09-01T15:16:39+00:00,SSH,Classical,X25519,X25519,None,latency200,5,4985188,,,,,,,1
ssh_latency200_classical_20260901_151614_6,2026-09-01T15:16:44+00:00,SSH,Classical,X25519,X25519,None,latency200,6,4990730,,,,,,,1
ssh_latency200_classical_20260901_151614_7,2026-09-01T15:16:49+00:00,SSH,Classical,X25519,X25519,None,latency200,7,4992160,,,,,,,1
ssh_latency200_classical_20260901_151614_8,2026-09-01T15:16:54+00:00,SSH,Classical,X25519,X25519,None,latency200,8,4984919,,,,,,,1
ssh_latency200_classical_20260901_151614_9,2026-09-01T15:16:59+00:00,SSH,Classical,X25519,X25519,None,latency200,9,4978017,,,,,,,1
ssh_latency200_classical_20260901_151614_10,2026-09-01T15:17:04+00:00,SSH,Classical,X25519,X25519,None,latency200,10,4985078,,,,,,,1
ssh_latency200_hybrid_20260901_151614_1,2026-09-01T15:17:09+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency200,1,5011247,,,,,,,1
ssh_latency200_hybrid_20260901_151614_2,2026-09-01T15:17:14+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency200,2,5006910,,,,,,,1
ssh_latency200_hybrid_20260901_151614_3,2026-09-01T15:17:19+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency200,3,5011748,,,,,,,1
ssh_latency200_hybrid_20260901_151614_4,2026-09-01T15:17:24+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency200,4,5010517,,,,,,,1
ssh_latency200_hybrid_20260901_151614_5,2026-09-01T15:17:29+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency200,5,5024462,,,,,,,1
ssh_latency200_hybrid_20260901_151614_6,2026-09-01T15:17:34+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency200,6,4998503,,,,,,,1
ssh_latency200_hybrid_20260901_151614_7,2026-09-01T15:17:39+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency200,7,4999101,,,,,,,1
ssh_latency200_hybrid_20260901_151614_8,2026-09-01T15:17:44+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency200,8,4999733,,,,,,,1
ssh_latency200_hybrid_20260901_151614_9,2026-09-01T15:17:49+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency200,9,5010787,,,,,,,1
ssh_latency200_hybrid_20260901_151614_10,2026-09-01T15:17:54+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency200,10,5017400,,,,,,,1
tls_bandwidth1mbps_classical_20260901_151754_1,2026-09-01T15:17:54+00:00,TLS,Classical,X25519,X25519,None,bandwidth1mbps,1,21458,,,,,,,1
tls_bandwidth1mbps_classical_20260901_151754_2,2026-09-01T15:17:54+00:00,TLS,Classical,X25519,X25519,None,bandwidth1mbps,2,21625,,,,,,,1
tls_bandwidth1mbps_classical_20260901_151754_3,2026-09-01T15:17:54+00:00,TLS,Classical,X25519,X25519,None,bandwidth1mbps,3,23907,,,,,,,1
tls_bandwidth1mbps_classical_20260901_151754_4,2026-09-01T15:17:54+00:00,TLS,Classical,X25519,X25519,None,bandwidth1mbps,4,24060,,,,,,,1
